from	to
5087100.0	965051.0
5043552.0	965051.0
4106228.0	3859027.0
2825806.0	3859027.0
5701.0	3859027.0
3797570.0	3859027.0
7804896.0	4830296.0
2319844.0	1447509.0
6429699.0	4452553.0
6060650.0	4452553.0
58186.0	157247.0
5269827.0	1491895.0
3813825.0	3066972.0
3310749.0	3066972.0
118068.0	3066972.0
2790092.0	574632.0
1059101.0	574632.0
4354201.0	574632.0
2856088.0	574632.0
944867.0	965051.0
2029048.0	992666.0
991275.0	992666.0
2758150.0	992666.0
2078030.0	992666.0
2905625.0	992666.0
2346427.0	992666.0
709329.0	992666.0
4863202.0	519413.0
201078.0	519413.0
1633186.0	519413.0
1011527.0	519413.0
1312107.0	1428679.0
1469954.0	1428679.0
907927.0	1253312.0
1518924.0	1875256.0
3231139.0	1875256.0
2369807.0	295783.0
2438423.0	689579.0
2207559.0	9645594.0
6371914.0	412507.0
3402854.0	412507.0
1491895.0	412507.0
1868805.0	19068.0
8929645.0	1842959.0
3655408.0	1842959.0
522511.0	2082141.0
118068.0	2082141.0
3794803.0	2082141.0
1353011.0	4255447.0
6385825.0	973578.0
7193616.0	973578.0
2670571.0	973578.0
7347451.0	973578.0
4084932.0	973578.0
1714715.0	973578.0
4181566.0	973578.0
1175966.0	568785.0
3386635.0	1491895.0
3840799.0	1491895.0
2826778.0	2853243.0
804867.0	2853243.0
2911621.0	2853243.0
1980906.0	1059101.0
1353011.0	1059101.0
1879822.0	1491895.0
452074.0	114251.0
4494979.0	114251.0
4237824.0	114251.0
2293686.0	965051.0
4871242.0	3984553.0
1059101.0	3984553.0
3465521.0	3358027.0
3125425.0	3358027.0
2649661.0	3358027.0
1652183.0	2633591.0
3977527.0	2633591.0
3696399.0	2633591.0
3745183.0	2633591.0
3989136.0	2633591.0
2745584.0	2633591.0
1554899.0	19068.0
3703534.0	6714544.0
1809895.0	6714544.0
2934788.0	6714544.0
1512940.0	6714544.0
1534638.0	6714544.0
2940893.0	2472111.0
1992649.0	2472111.0
2806497.0	2472111.0
1529853.0	4733666.0
4719957.0	4733666.0
1910447.0	19068.0
1697320.0	19068.0
7727843.0	8075342.0
8075749.0	8075342.0
1094246.0	8075342.0
3385827.0	8075342.0
3007335.0	19068.0
1295146.0	19068.0
5043552.0	4373584.0
4007898.0	1719752.0
764846.0	328193.0
285587.0	328193.0
864620.0	212107.0
1573683.0	212107.0
1799096.0	212107.0
7450125.0	1441822.0
7772070.0	1441822.0
3326275.0	519413.0
341629.0	1293958.0
1447509.0	1293958.0
157247.0	11222004.0
285587.0	396373.0
3011784.0	1447509.0
3702602.0	2333214.0
218432.0	2333214.0
1875256.0	2333214.0
1407478.0	519413.0
615746.0	1353011.0
1215921.0	582278.0
1317805.0	582278.0
780498.0	1517551.0
1679187.0	1517551.0
1465324.0	1517551.0
7450125.0	2840750.0
4057622.0	2840750.0
519413.0	2840750.0
5935182.0	6876418.0
4395287.0	6876418.0
2792053.0	402022.0
1959207.0	402022.0
19068.0	402022.0
2567446.0	19068.0
114251.0	2834984.0
1906356.0	3083093.0
1496715.0	3083093.0
2232273.0	1059101.0
2504564.0	1059101.0
3963270.0	1059101.0
661872.0	1175966.0
2641232.0	5168739.0
3959018.0	5168739.0
1059101.0	5168739.0
2666779.0	678801.0
1059101.0	678801.0
560161.0	2080056.0
11945202.0	2080056.0
295783.0	2080056.0
1496715.0	5506010.0
1566232.0	1469954.0
1365088.0	1469954.0
1136593.0	235710.0
805176.0	114251.0
1335165.0	114251.0
2310289.0	114251.0
5150781.0	689579.0
2932244.0	689579.0
3739551.0	689579.0
216408.0	15609.0
701233.0	15609.0
183471.0	15609.0
10546053.0	1353011.0
462627.0	2479962.0
3358027.0	1338292.0
2207559.0	2572018.0
4395287.0	2572018.0
1197775.0	2472111.0
2281770.0	2365628.0
1931663.0	2365628.0
1872101.0	1491895.0
1099931.0	1668533.0
1137947.0	1048479.0
965051.0	1048479.0
1414562.0	1687983.0
3851580.0	1687983.0
3044080.0	1687983.0
1913729.0	1491895.0
5921745.0	1842959.0
1906356.0	4327861.0
6819297.0	4327861.0
3272852.0	4327861.0
2038806.0	4327861.0
2649661.0	2662489.0
2731272.0	3859027.0
5126032.0	1059101.0
3527537.0	1059101.0
3580410.0	295783.0
3993662.0	74757.0
1798341.0	14104.0
295783.0	14104.0
5632544.0	328193.0
14104.0	1714715.0
1501051.0	2285881.0
3383213.0	2285881.0
1989820.0	2285881.0
82548.0	2285881.0
2306509.0	2285881.0
3239837.0	2285881.0
3373399.0	2285881.0
1571284.0	2285881.0
2020565.0	111757.0
3011111.0	111757.0
1758031.0	111757.0
593958.0	111757.0
2065039.0	1906356.0
3615504.0	1906356.0
3851580.0	519413.0
3117422.0	519413.0
2853243.0	519413.0
3377868.0	519413.0
2500658.0	519413.0
986160.0	3993662.0
1447509.0	3993662.0
1315498.0	3993662.0
2595012.0	5043552.0
3385827.0	3055401.0
2215486.0	3055401.0
1059101.0	3161993.0
743290.0	3639777.0
4723536.0	3639777.0
2438423.0	3639777.0
10383360.0	3639777.0
93169.0	519413.0
4364303.0	3385827.0
2595012.0	1583522.0
5765887.0	1583522.0
1680415.0	1583522.0
3603681.0	7820028.0
6862608.0	7820028.0
3603681.0	7820028.0
3816700.0	4891828.0
3681236.0	4891828.0
2602732.0	4891828.0
1683134.0	1491895.0
9071534.0	8510838.0
1906356.0	8510838.0
4807311.0	8510838.0
11635033.0	3169577.0
5921745.0	3169577.0
3185267.0	3169577.0
1361404.0	306323.0
14104.0	306323.0
4332216.0	519413.0
5165738.0	519413.0
3048405.0	1343690.0
1929676.0	1343690.0
1947652.0	1343690.0
980869.0	1343690.0
2067159.0	1343690.0
41967.0	45433.0
4465.0	45433.0
41967.0	45433.0
150463.0	45433.0
161832.0	45433.0
46460.0	45433.0
1902010.0	45433.0
591097.0	2236241.0
3859027.0	2236241.0
2586071.0	2236241.0
3085310.0	2967572.0
2741296.0	2967572.0
3033864.0	1414562.0
2106799.0	1414562.0
2435432.0	1414562.0
834018.0	1414562.0
879197.0	1414562.0
4346951.0	19068.0
781251.0	2588457.0
2602732.0	2588457.0
1734080.0	1175966.0
2435004.0	965051.0
1402929.0	965051.0
2422796.0	965051.0
201078.0	4420893.0
4701699.0	4420893.0
3717181.0	3441954.0
1201642.0	3441954.0
1011527.0	3441954.0
1842959.0	4488327.0
2888829.0	519413.0
1221792.0	519413.0
1530657.0	2533926.0
726938.0	2533926.0
278996.0	2533926.0
1343690.0	2533926.0
2224331.0	5506010.0
2150483.0	995579.0
1860772.0	995579.0
1253312.0	995579.0
815386.0	1046010.0
1015448.0	1046010.0
733287.0	1046010.0
1083946.0	1046010.0
462627.0	1668533.0
1405921.0	733287.0
3189239.0	2333214.0
1875256.0	2333214.0
956397.0	2333214.0
1719752.0	2333214.0
3085310.0	2333214.0
1826691.0	147992.0
631771.0	147992.0
115563.0	147992.0
183471.0	147992.0
4037707.0	1428679.0
973552.0	1428679.0
1631190.0	1428679.0
959664.0	397861.0
1403814.0	397861.0
1124578.0	397861.0
1430648.0	397861.0
3747630.0	1172798.0
2649661.0	1172798.0
5686794.0	1172798.0
1817690.0	2310289.0
2280505.0	1906356.0
673125.0	2292736.0
2320202.0	2292736.0
1414562.0	2292736.0
995579.0	118068.0
1529853.0	118068.0
1301994.0	965051.0
4452553.0	1175966.0
5921745.0	1175966.0
5615145.0	1906356.0
4688597.0	1906356.0
1573683.0	235710.0
795995.0	1317805.0
23051.0	1317805.0
1414562.0	1317805.0
1905624.0	2008111.0
1544977.0	2008111.0
686490.0	2008111.0
505216.0	2008111.0
3202149.0	2008111.0
2814611.0	2008111.0
6787580.0	1306401.0
96944.0	1306401.0
359226.0	1306401.0
521631.0	1306401.0
118068.0	1306401.0
476074.0	1707160.0
189431.0	1707160.0
1529853.0	1707160.0
2887034.0	1239808.0
557702.0	1239808.0
829533.0	1239808.0
189134.0	1239808.0
853360.0	1239808.0
2842425.0	1239808.0
1109988.0	1239808.0
2281770.0	14104.0
2775931.0	14104.0
1788218.0	14104.0
3385827.0	1476529.0
897320.0	295783.0
7450125.0	3385827.0
497418.0	114251.0
3508956.0	114251.0
2580950.0	114251.0
657200.0	114251.0
4928573.0	1011527.0
1722028.0	1496715.0
1438265.0	1496715.0
3807594.0	1496715.0
2334592.0	3126629.0
2602732.0	3126629.0
1389556.0	1353011.0
2156913.0	1353011.0
2055212.0	1353011.0
2571870.0	1353011.0
2053683.0	1353011.0
493958.0	1353011.0
1679187.0	1573683.0
2107581.0	1573683.0
2293836.0	1573683.0
1418118.0	1353011.0
267593.0	1353011.0
790224.0	1353011.0
1587858.0	1353011.0
1263783.0	1353011.0
1090438.0	328193.0
6293599.0	328193.0
3612883.0	3385827.0
114584.0	157247.0
2464144.0	1553888.0
1011527.0	1553888.0
3698198.0	2057112.0
1139637.0	1300194.0
2687790.0	1300194.0
1205043.0	1300194.0
1569591.0	1300194.0
19068.0	1300194.0
1111013.0	1300194.0
1403947.0	1338292.0
482158.0	1338292.0
572939.0	61605.0
397861.0	61605.0
995579.0	61605.0
3540698.0	114251.0
240443.0	114251.0
3558960.0	114251.0
4813629.0	3859027.0
2401175.0	3859027.0
14104.0	3305976.0
3698198.0	2472111.0
3711988.0	686490.0
965051.0	57318.0
1545939.0	57318.0
1144837.0	965051.0
1506980.0	965051.0
2624986.0	965051.0
3326275.0	1087195.0
1011527.0	1087195.0
462627.0	1405921.0
3603681.0	1405921.0
562483.0	157247.0
185532.0	157247.0
328699.0	157247.0
3037236.0	1906356.0
1490287.0	1906356.0
4373100.0	6876418.0
1059101.0	6532189.0
7574108.0	6532189.0
1430856.0	6532189.0
2943218.0	6532189.0
511529.0	1491895.0
1235074.0	1011527.0
6693915.0	1011527.0
5176202.0	1906356.0
4765745.0	1906356.0
4772989.0	1906356.0
572827.0	157247.0
2402943.0	157247.0
2042748.0	157247.0
3515127.0	1512940.0
3445573.0	1512940.0
2915384.0	1512940.0
754015.0	1512940.0
6579138.0	5921745.0
3515379.0	551841.0
1817690.0	551841.0
135121.0	183471.0
283366.0	183471.0
4977144.0	2687790.0
3386807.0	747355.0
2206064.0	747355.0
2020565.0	747355.0
3561864.0	747355.0
1491895.0	1172606.0
417806.0	1172606.0
1878295.0	240443.0
991275.0	2770274.0
4118983.0	1011527.0
4241030.0	1011527.0
1829499.0	8543056.0
4057622.0	8543056.0
5060349.0	8543056.0
1624960.0	1664501.0
965051.0	1664501.0
4830296.0	1175966.0
60223.0	678801.0
1479432.0	678801.0
691156.0	678801.0
